Hospital Name,HCPCS Category,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent,Definitive ID
Springfield Memorial Hospital (FKA Memorial Medical Center),Emerging Technology,$0,"$2,086",,,Memorial Health (FKA Memorial Health System),,1260
Springfield Memorial Hospital (FKA Memorial Medical Center),Path. and Lab. - Definitive Drug Testing,$0,$266,,,Memorial Health (FKA Memorial Health System),,1260
Springfield Memorial Hospital (FKA Memorial Medical Center),Temporary Hospital Outpatient Prospective Payment System,$0,"$21,838",17,,Memorial Health (FKA Memorial Health System),,1260
Springfield Memorial Hospital (FKA Memorial Medical Center),Medicine - Pulmonary,$0,"$2,540",,,Memorial Health (FKA Memorial Health System),,1260
Springfield Memorial Hospital (FKA Memorial Medical Center),Path. and Lab. - Therapeutic Drug Assays,$0,$133,,,Memorial Health (FKA Memorial Health System),,1260
Springfield Memorial Hospital (FKA Memorial Medical Center),Path. and Lab. - Surgical Pathology,$0,"$1,354",,,Memorial Health (FKA Memorial Health System),,1260
Springfield Memorial Hospital (FKA Memorial Medical Center),Radiology - Diagnostic Ultrasound,$0,$418,,,Memorial Health (FKA Memorial Health System),,1260
UW Health SwedishAmerican Hospital (FKA SwedishAmerican Hospital),Medicine - Immunization Administration for Vaccines/Toxoids,$0,$361,,,University of Wisconsin Health (AKA UW Health),,1283
OSF Saint Anthony Medical Center,Path. and Lab. - Molecular Pathology,$0,$837,,,OSF HealthCare,,1282
OSF Saint Anthony Medical Center,"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,"$14,090",131,22,OSF HealthCare,,1282
OSF Saint Anthony Medical Center,Path. and Lab. - Transfusion Medicine,$0,"$3,232",15,,OSF HealthCare,,1282
OSF Saint Anthony Medical Center,"Medicine - Vaccines, Toxoids",$0,$165,,,OSF HealthCare,,1282
OSF Saint Anthony Medical Center,Medicine - Immunization Administration for Vaccines/Toxoids,$0,$120,,,OSF HealthCare,,1282
OSF Saint Anthony Medical Center,Radiology - Radiologic Guidance,$0,"$3,905",,,OSF HealthCare,,1282
OSF Saint Anthony Medical Center,Medicine - Other Services and Procedures,$0,$364,,,OSF HealthCare,,1282
OSF Saint Anthony Medical Center,Path. and Lab. - Definitive Drug Testing,$0,"$4,042",,,OSF HealthCare,,1282
OSF Saint Anthony Medical Center,Surgery - Nervous System,$0,"$6,849",,,OSF HealthCare,,1282
OSF Saint Anthony Medical Center,Surgery - Urinary System,$0,$268,,,OSF HealthCare,,1282
OSF Saint Anthony Medical Center,Anesthesia - Moderate (Conscious) Sedation,$0,"$3,956",,,OSF HealthCare,,1282
SIH Herrin Hospital,Path. and Lab. - Immunology,$0,"$1,777",,,Southern Illinois Healthcare,,1279
SIH Herrin Hospital,"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,"$1,403",,,Southern Illinois Healthcare,,1279
