Hospital Name,HCPCS Category,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent,Definitive ID
Kirby Medical Center (AKA John & Mary Kirby Hospital),"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,$6,,,,,1246
Carle Richland Memorial Hospital,Medicine - Cardiovascular,$0,$435,,,Carle Health System,,1251
Carle Richland Memorial Hospital,Temporary Procedures & Professional Services,$0,$0,,,Carle Health System,,1251
Red Bud Regional Hospital,Medicine - Cardiovascular,$0,"$2,199",,,Deaconess Health System,Deaconess Health System,1248
Red Bud Regional Hospital,Radiology - Diagnostic Ultrasound,$0,"$3,689",,,Deaconess Health System,Deaconess Health System,1248
Red Bud Regional Hospital,Medicine - Pulmonary,$0,$639,,,Deaconess Health System,Deaconess Health System,1248
Red Bud Regional Hospital,Drugs Not Administered Orally,$0,$81,,,Deaconess Health System,Deaconess Health System,1248
Red Bud Regional Hospital,"Medicine - Injections, Infusions, and Complex Agent Administration",$0,$996,,,Deaconess Health System,Deaconess Health System,1248
Red Bud Regional Hospital,Eval. and Mgmt. - Emergency Department Services,$0,"$4,496",,,Deaconess Health System,Deaconess Health System,1248
Red Bud Regional Hospital,Radiology - Diagnostic Imaging,$0,"$10,011",,,Deaconess Health System,Deaconess Health System,1248
Salem Township Hospital,Path. and Lab. - Urinalysis,$0,$146,,,,,1235
Salem Township Hospital,"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,$3,,,,,1235
Salem Township Hospital,Radiology - Diagnostic Imaging,$0,"$5,091",,,,,1235
SSM Health St Marys Hospital - Centralia (FKA St Marys Good Samaritan Inc - Centralia Campus),Temporary Codes,$0,$320,,,SSM Health in Illinois,SSM Health,1234
HSHS St Marys Hospital,Temporary Hospital Outpatient Prospective Payment System,$0,"$32,120",,,Hospital Sisters Health System (AKA HSHS),,1226
HSHS St Marys Hospital,"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,"$6,482",11,,Hospital Sisters Health System (AKA HSHS),,1226
Anderson Hospital,Medicine - Cardiovascular,$0,$423,,,Anderson Healthcare (FKA Anderson Hospital Health System),,1230
Anderson Hospital,Surgery - Cardiovascular System,$0,$32,,,Anderson Healthcare (FKA Anderson Hospital Health System),,1230
Anderson Hospital,Path. and Lab. - Chemistry,$0,$605,,,Anderson Healthcare (FKA Anderson Hospital Health System),,1230
Anderson Hospital,Path. and Lab. - Hematology and Coagulation,$0,$192,,,Anderson Healthcare (FKA Anderson Hospital Health System),,1230
Gateway Regional Medical Center,Path. and Lab. - Urinalysis,$0,$240,,,American Healthcare Systems,,1231
OSF Saint Anthonys Health Center,Medicine - Cardiovascular,$0,$365,,,OSF HealthCare,,1232
OSF Saint Anthonys Health Center,"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,$15,,,OSF HealthCare,,1232
OSF Saint Anthonys Health Center,Medicine - Pulmonary,$0,$205,,,OSF HealthCare,,1232
Gateway Regional Medical Center,Path. and Lab. - Definitive Drug Testing,$0,"$1,174",,,American Healthcare Systems,,1231
Gateway Regional Medical Center,Path. and Lab. - Hematology and Coagulation,$0,$428,,,American Healthcare Systems,,1231
Gateway Regional Medical Center,Path. and Lab. - Therapeutic Drug Assays,$0,$378,,,American Healthcare Systems,,1231
Gateway Regional Medical Center,Path. and Lab. - Chemistry,$0,$915,,,American Healthcare Systems,,1231
Anderson Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,$0,$355,,,Anderson Healthcare (FKA Anderson Hospital Health System),,1230
Gateway Regional Medical Center,Path. and Lab. - Organ or Disease-Oriented Panels,$0,$631,,,American Healthcare Systems,,1231
SSM Health St Marys Hospital - Centralia (FKA St Marys Good Samaritan Inc - Centralia Campus),"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,$674,,,SSM Health in Illinois,SSM Health,1234
OSF Saint Anthonys Health Center,Drugs Not Administered Orally,$0,$50,,,OSF HealthCare,,1232
OSF Saint Anthonys Health Center,"Medicine - Injections, Infusions, and Complex Agent Administration",$0,$243,,,OSF HealthCare,,1232
OSF Saint Francis Medical Center,"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,"$12,264",94,26,OSF HealthCare,,1242
Carle Health Methodist Hospital (FKA Methodist Hospital),Medicine - Immunization Administration for Vaccines/Toxoids,$0,$105,,,Carle Health System,,1241
Carle Health Methodist Hospital (FKA Methodist Hospital),Path. and Lab. - Molecular Pathology,$0,$847,,,Carle Health System,,1241
OSF Saint Francis Medical Center,Medicine - Immunization Administration for Vaccines/Toxoids,$0,$97,,,OSF HealthCare,,1242
OSF Saint Francis Medical Center,"Medicine - Vaccines, Toxoids",$0,$322,,,OSF HealthCare,,1242
OSF Saint Francis Medical Center,Path. and Lab. - Definitive Drug Testing,$0,$757,,,OSF HealthCare,,1242
Rochelle Community Hospital,Temporary Procedures & Professional Services,$0,$130,,,,,1240
Carle Health Methodist Hospital (FKA Methodist Hospital),Anesthesia - Moderate (Conscious) Sedation,$0,$440,,,Carle Health System,,1241
Carle Health Methodist Hospital (FKA Methodist Hospital),Temporary Codes,$0,"$7,210",,,Carle Health System,,1241
Decatur Memorial Hospital,Path. and Lab. - Definitive Drug Testing,$0,$130,,,Memorial Health (FKA Memorial Health System),,1225
HSHS St Marys Hospital,Surgery - Nervous System,$0,"$4,460",,,Hospital Sisters Health System (AKA HSHS),,1226
HSHS St Marys Hospital,Drugs Not Administered Orally,$0,"$1,124",,,Hospital Sisters Health System (AKA HSHS),,1226
Decatur Memorial Hospital,Temporary Codes,$0,"$1,700",,,Memorial Health (FKA Memorial Health System),,1225
Decatur Memorial Hospital,Emerging Technology,$0,"$2,083",,,Memorial Health (FKA Memorial Health System),,1225
Carle BroMenn Medical Center (FKA Advocate BroMenn Medical Center),Path. and Lab. - Surgical Pathology,$0,$732,,,Carle Health System,,1224
Carle BroMenn Medical Center (FKA Advocate BroMenn Medical Center),Temporary Hospital Outpatient Prospective Payment System,$0,$495,,,Carle Health System,,1224
OSF St Joseph Medical Center,Anesthesia - Moderate (Conscious) Sedation,$0,$764,,,OSF HealthCare,,1223
Carle BroMenn Medical Center (FKA Advocate BroMenn Medical Center),Drugs Not Administered Orally,$0,"$17,679",89,16,Carle Health System,,1224
OSF St Joseph Medical Center,Radiology - Radiologic Guidance,$0,$479,,,OSF HealthCare,,1223
OSF St Joseph Medical Center,Path. and Lab. - Definitive Drug Testing,$0,"$1,260",,,OSF HealthCare,,1223
OSF St Joseph Medical Center,Surgery - Nervous System,$0,"$1,545",,,OSF HealthCare,,1223
Mercyhealth Hospital and Medical Center - Harvard,Private Payer Codes,$0,$21,,,Mercyhealth (FKA Mercy Health System),,1221
OSF St Joseph Medical Center,Orthotic/Prosthetic Procedures,$0,$282,,,OSF HealthCare,,1223
OSF St Joseph Medical Center,"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,"$10,035",61,16,OSF HealthCare,,1223
OSF St Joseph Medical Center,Medicine - Pulmonary,$0,$698,,,OSF HealthCare,,1223
OSF St Joseph Medical Center,"Medicine - Special Services, Procedures and Reports",$0,$75,,,OSF HealthCare,,1223
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),Path. and Lab. - Surgical Pathology,$0,"$31,392",37,18,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1220
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),Radiology - Radiologic Guidance,$0,"$14,994",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1220
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),Path. and Lab. - Other Procedures,$0,$420,,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1220
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),Path. and Lab. - Cytopathology,$0,"$2,339",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1220
