Definitive ID,Hospital name,City,State,Medicare pmts,Medicare charges,# of referrals,% of referrals,# of unique beneficiaries,IDN name,In-network referrals
1200,Saint Mary Hospital - Kankakee (FKA Ascension St Mary Kankakee),Kankakee,IL,"$21,503","$114,550",,,,Prime Healthcare Services,No
1183,Morris Hospital & Healthcare Centers,Morris,IL,"$21,347","$159,367",,,,,No
2400,Missouri Delta Medical Center,Sikeston,MO,"$21,268","$139,816",,,,,No
789,HCA Florida Lake City Hospital (FKA Lake City Medical Center),Lake City,FL,"$21,171","$121,111",,,,HCA North Florida Division,No
1213,OSF Saint Elizabeth Medical Center (FKA Ottawa Regional Hosp & Hc Center),Ottawa,IL,"$21,025","$89,458",,,,OSF HealthCare,No
1204,Vista Medical Center East (AKA Vista Health System),Waukegan,IL,"$19,920","$118,971",,,,American Healthcare Systems,No
1111,Carle Foundation Hospital,Urbana,IL,"$17,697","$170,363",,,,Carle Health System,No
2062,Henry Ford Providence Southfield Hospital (FKA Ascension Providence Hospital - Southfield Campus),Southfield,MI,"$16,887","$46,628",,,,Henry Ford Health (FKA Henry Ford Health System),No
2057,Mercy Health Hackley Campus (FKA Mercy Health Muskegon - Hackley - Closed),Muskegon,MI,"$16,614","$26,709",,,,Mercy Health (FKA Mercy Health Muskegon - Closed - Merged with Trinity Health Michigan),No
1345,Methodist Hospitals - Northlake,Gary,IN,"$15,103","$93,086",,,,Methodist Hospitals,No
856410,Javon Bea Hospital - Riverside,Rockford,IL,"$15,005","$47,239",,,,Mercyhealth (FKA Mercy Health System),No
180,Arizona Spine & Joint Hospital,Mesa,AZ,"$14,164","$102,470",,,,United Surgical Partners International (AKA USPI),No
1265,Hopedale Medical Complex,Hopedale,IL,"$13,942","$17,652",,,,,No
1260,Springfield Memorial Hospital (FKA Memorial Medical Center),Springfield,IL,"$13,692","$69,305",,,,Memorial Health (FKA Memorial Health System),No
1282,OSF Saint Anthony Medical Center,Rockford,IL,"$13,387","$164,217",,,,OSF HealthCare,No
920,Sarasota Memorial Hospital,Sarasota,FL,"$12,249","$20,933",,,,Sarasota Memorial Health Care System,No
1461,University of Iowa Hospitals & Clinics,Iowa City,IA,"$11,687","$38,186",,,,University of Iowa Health Care,No
3923,William P Clements Jr University Hospital (FKA UT Southwestern University Hospital - St Paul),Dallas,TX,"$11,394","$94,347",,,,University of Texas Southwestern Medical Center (AKA UT Southwestern),No
1072,Kona Community Hospital,Kealakekua,HI,"$11,249","$22,867",,,,Hawaii Health Systems Corp (AKA HHSC),No
548,Scripps Memorial Hospital La Jolla,La Jolla,CA,"$10,868","$49,594",,,,Scripps Health,No
1366,St Joseph Health System Plymouth Medical Center (FKA St Josephs Regional Medical Center - Plymouth),Plymouth,IN,"$10,465","$47,336",,,,St Joseph Health System (Mishawaka IN),No
1170,Northwestern Medicine Valley West Hospital (FKA Valley West Community Hospital),Sandwich,IL,"$10,311","$25,423",,,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),No
4240,St George Regional Hospital (FKA Dixie Regional Medical Center),Saint George,UT,"$10,109","$20,966",,,,Intermountain Health (FKA Intermountain Healthcare),No
1146,Thorek Memorial Hospital,Chicago,IL,"$9,768","$52,294",,,,Thorek Memorial Hospital Health System,No
2074,Holland Hospital,Holland,MI,"$9,384","$25,951",,,,,No
2708,Presbyterian Hospital,Albuquerque,NM,"$9,269","$15,417",,,,Presbyterian Healthcare Services,No
4582,Aurora Lakeland Medical Center,Elkhorn,WI,"$8,775","$16,088",,,,Aurora Health Care,No
1206,City of Hope Chicago (FKA Cancer Treatment Centers of America - Chicago),Zion,IL,"$8,695","$46,765",,,,City of Hope,No
1995,Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),Saint Joseph,MI,"$8,375","$15,207",,,,Corewell Health South (FKA Spectrum Health Lakeland),No
2586,Sunrise Hospital & Medical Center,Las Vegas,NV,"$8,151","$26,099",,,,HCA Far West Division - Sunrise Health,No
4423,Cabell Huntington Hospital,Huntington,WV,"$7,935","$48,315",,,,Marshall Health Network (FKA Mountain Health Network),No
1023,Fairview Park Hospital,Dublin,GA,"$7,854","$133,985",,,,HCA South Atlantic Division,No
1242,OSF Saint Francis Medical Center,Peoria,IL,"$7,532","$14,488",,,,OSF HealthCare,No
4557,Ascension All Saints Hospital - Spring Street Campus (FKA Ascension Wheaton Franciscan Healthcare - All Saints),Racine,WI,"$7,465","$18,578",,,,Ascension Wisconsin (FKA Ascension Wheaton Franciscan Healthcare),No
4593,Aurora Medical Center - Oshkosh,Oshkosh,WI,"$7,002","$49,215",,,,Aurora Health Care,No
235,NEA Baptist Memorial Hospital,Jonesboro,AR,"$6,711","$28,638",,,,Baptist Memorial Health Care Corporation,No
159,Banner Boswell Medical Center,Sun City,AZ,"$6,642","$28,990",,,,Banner Health,No
