Hospital Name,Base DRG Group,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent
Advocate Sherman Hospital,"OTHER KIDNEY & URINARY TRACT DIAGNOSES  (698, 699, 700)","$68,339","$372,478",,,Advocate Health Care,Advocate Health
Advocate Sherman Hospital,"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$40,771","$371,613",,,Advocate Health Care,Advocate Health
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),"RESPIRATORY INFECTIONS & INFLAMMATIONS  (177, 178, 179)","$71,564","$371,224",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Memorial Hospital,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA  (441, 442, 443)","$60,465","$370,893",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Franciscan Health Michigan City (FKA Franciscan St Anthony Health - Michigan City),"PERITONEAL ADHESIOLYSIS  (335, 336, 337)","$31,481","$370,863",,,Franciscan Alliance Inc (AKA Franciscan Health),
Loyola University Medical Center,"COMBINED ANTERIOR/POSTERIOR SPINAL FUSION  (453, 454, 455)","$141,629","$370,193",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
University of Texas MD Anderson Cancer Center,"ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE  (834, 835, 836)","$99,942","$368,989",,,University of Texas System,University of Texas System
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),"PERCUTANEOUS CARDIOVASCULAR PROCEDURES W INTRALUMINAL DEVICE (321,322)","$72,742","$368,400",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Advocate Good Samaritan Hospital,SINGLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL (402),"$55,765","$367,219",,,Advocate Health Care,Advocate Health
Advocate Christ Medical Center,"OTHER CARDIOTHORACIC PROCEDURES  (228, 229, 230)","$88,104","$366,367",,,Advocate Health Care,Advocate Health
Silver Cross Hospital,"OTHER O.R. PROCEDURES FOR INJURIES  (907, 908, 909)","$104,666","$366,074",,,,
Advocate Lutheran General Hospital,"CRANIAL & PERIPHERAL NERVE DISORDERS  (073, 074)","$107,802","$365,830",,,Advocate Health Care,Advocate Health
Northwestern Memorial Hospital,"SEIZURES  (100, 101)","$75,591","$365,802",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Good Samaritan Hospital,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE  (280, 281, 282)","$81,935","$365,140",,,Advocate Health Care,Advocate Health
Edward Hospital (FKA Edward Heart Hospital),"BRONCHITIS & ASTHMA  (202, 203)","$28,894","$365,001",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Northwestern Medicine Palos Hospital (AKA Palos Health),"LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E.  (417, 418, 419)","$39,489","$365,000",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
University of Illinois Hospital,"OTHER O.R. PROCEDURES FOR INJURIES  (907, 908, 909)","$53,369","$364,447",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Elmhurst Hospital,"RENAL FAILURE  (682, 683, 684)","$49,415","$364,263",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Swedish Hospital (FKA Swedish Covenant Hospital),"CARDIAC DEFIBRILLATOR IMPLANT (275,276,277)","$122,946","$364,061",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
OSF Little Company of Mary Medical Center (FKA Little Company of Mary Hospital),"HEART FAILURE & SHOCK  (291, 292, 293)","$119,116","$363,986",12,,OSF HealthCare,
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),"SPINAL FUSION EXCEPT CERVICAL  (459, 460)","$97,572","$363,550",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Northwestern Medicine Central DuPage Hospital,"INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE  (020, 021, 022)","$42,307","$363,128",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),"MAJOR SMALL & LARGE BOWEL PROCEDURES  (329, 330, 331)","$87,145","$362,676",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
RUSH Specialty Hospital,"OSTEOMYELITIS  (539, 540, 541)","$100,661","$362,600",,,Select Medical Corporation,Select Medical Corporation
Northwestern Medicine Palos Hospital (AKA Palos Health),"SEIZURES  (100, 101)","$80,390","$361,550",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Edward Hospital (FKA Edward Heart Hospital),"LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E.  (417, 418, 419)","$116,541","$361,092",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Weiss Memorial Hospital (Closed),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$121,848","$360,997",,,Resilience Healthcare,
Northwestern Memorial Hospital,"CAROTID ARTERY STENT PROCEDURE  (034, 035, 036)","$41,665","$360,868",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Trinity Hospital,"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$92,623","$360,757",,,Advocate Health Care,Advocate Health
Franciscan Health Dyer (FKA Franciscan St Margaret Health - Dyer Campus),"HEART FAILURE & SHOCK  (291, 292, 293)","$71,970","$360,482",,,Franciscan Alliance Inc (AKA Franciscan Health),
Edward Hospital (FKA Edward Heart Hospital),"SPINAL FUSION EXCEPT CERVICAL  (459, 460)","$41,942","$360,334",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Elmhurst Hospital,"CELLULITIS  (602, 603)","$59,389","$358,334",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Mercy Medical Center (FKA Ascension Mercy),"POISONING & TOXIC EFFECTS OF DRUGS  (917, 918)","$29,816","$358,255",,,Prime Healthcare Services,Prime Healthcare Services
MacNeal Hospital,"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$79,868","$358,154",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Advocate Lutheran General Hospital,"DEGENERATIVE NERVOUS SYSTEM DISORDERS  (056, 057)","$153,197","$357,825",,,Advocate Health Care,Advocate Health
Mercy Medical Center (FKA Ascension Mercy),"BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM  (094, 095, 096)","$26,785","$357,463",,,Prime Healthcare Services,Prime Healthcare Services
Scripps Memorial Hospital La Jolla,"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$47,914","$356,892",,,Scripps Health,
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),"CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES  (025, 026, 027)","$70,742","$356,770",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
RUSH Specialty Hospital,"SEIZURES  (100, 101)","$107,374","$356,033",,,Select Medical Corporation,Select Medical Corporation
Loyola University Medical Center,"AUTOLOGOUS BONE MARROW TRANSPLANT  (015, 016, 017)","$150,059","$355,948",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Kindred Hospital Bay Area - St Petersburg,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE  (559, 560, 561)","$36,190","$355,905",,,Kindred Hospitals,ScionHealth
Edward Hospital (FKA Edward Heart Hospital),"HYPERTENSION  (304, 305)","$39,123","$355,605",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"CARDIAC DEFIBRILLATOR IMPLANT (275,276,277)","$82,450","$355,527",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
University of Illinois Hospital,"COMBINED ANTERIOR/POSTERIOR SPINAL FUSION  (453, 454, 455)","$76,395","$354,899",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Loyola University Medical Center,"SEIZURES  (100, 101)","$98,589","$353,538",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
West Suburban Medical Center,"PERMANENT CARDIAC PACEMAKER IMPLANT  (242, 243, 244)","$61,086","$352,728",,,Resilience Healthcare,
UW Health SwedishAmerican Hospital (FKA SwedishAmerican Hospital),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$47,427","$352,253",,,University of Wisconsin Health (AKA UW Health),
Lakewood Ranch Medical Center,"OTHER MAJOR CARDIOVASCULAR PROCEDURES (270, 271, 272)","$21,216","$352,148",,,Manatee Healthcare System,Universal Health Services
Northwestern Memorial Hospital,"MEDICAL BACK PROBLEMS  (551, 552)","$80,979","$351,497",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
MacNeal Hospital,"PERCUTANEOUS CARDIOVASCULAR PROCEDURES W INTRALUMINAL DEVICE (321,322)","$47,311","$351,305",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Encompass Heath Rehabilitation Hospital of Libertyville,"OTHER DISORDERS OF NERVOUS SYSTEM  (091, 092, 093)","$213,382","$351,257",,,Encompass Health Corporation (FKA HealthSouth),
Northwest Health - Porter (AKA Porter Regional Hospital),"SIMPLE PNEUMONIA & PLEURISY  (193, 194, 195)","$14,758","$350,798",,,Northwest Health Porter (FKA Porter Health Care System),Community Health Systems (AKA CHS)
Northwestern Medicine Palos Hospital (AKA Palos Health),"RENAL FAILURE  (682, 683, 684)","$65,543","$349,642",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
John H Stroger Jr Hospital of Cook County,"HEART FAILURE & SHOCK  (291, 292, 293)","$686,649","$349,638",11,,Cook County Health & Hospitals System,
Holy Cross Hospital,"HEART FAILURE & SHOCK  (291, 292, 293)","$93,477","$349,519",,,Sinai Chicago (FKA Sinai Health System),
Northwestern Memorial Hospital,PULMONARY EDEMA & RESPIRATORY FAILURE  (189),"$92,227","$349,097",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Christ Medical Center,"EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  (981, 982, 983)","$47,067","$348,292",,,Advocate Health Care,Advocate Health
Advocate Condell Medical Center,"SIMPLE PNEUMONIA & PLEURISY  (193, 194, 195)","$18,533","$348,157",,,Advocate Health Care,Advocate Health
Northwestern Medicine Palos Hospital (AKA Palos Health),"CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH  (219, 220, 221)","$50,308","$348,144",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Good Samaritan Hospital,"PERCUTANEOUS CARDIOVASCULAR PROCEDURES W INTRALUMINAL DEVICE (321,322)","$75,072","$347,925",,,Advocate Health Care,Advocate Health
Carle Foundation Hospital,"CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX  (023, 024)","$42,577","$347,516",,,Carle Health System,
Resurrection Medical Center (FKA Ascension Resurrection),"ENDOVASCULAR CARDIAC VALVE REPLACEMENT (266, 267)","$56,985","$347,175",,,Prime Healthcare Services,Prime Healthcare Services
Edward Hospital (FKA Edward Heart Hospital),"CHRONIC OBSTRUCTIVE PULMONARY DISEASE  (190, 191, 192)","$52,278","$347,065",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Mercy Medical Center (FKA Ascension Mercy),"DEGENERATIVE NERVOUS SYSTEM DISORDERS  (056, 057)","$74,423","$346,614",,,Prime Healthcare Services,Prime Healthcare Services
Loyola University Medical Center,"OTHER DIGESTIVE SYSTEM DIAGNOSES  (393, 394, 395)","$133,735","$345,777",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Northwestern Memorial Hospital,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES  (264),"$115,391","$345,759",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Good Shepherd Hospital,"G.I. HEMORRHAGE  (377, 378, 379)","$47,770","$345,521",,,Advocate Health Care,Advocate Health
Saint Mary of Nazareth Hospital (FKA Ascension St Mary Chicago - Saint Mary Campus),"OTHER KIDNEY & URINARY TRACT DIAGNOSES  (698, 699, 700)","$69,665","$345,015",,,Prime Healthcare Services,Prime Healthcare Services
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"RED BLOOD CELL DISORDERS  (811, 812)","$63,828","$344,494",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Saint Joseph Medical Center - Joliet (FKA Ascension Saint Joseph Joliet),"OTHER MAJOR CARDIOVASCULAR PROCEDURES (270, 271, 272)","$36,000","$344,405",,,Prime Healthcare Services,Prime Healthcare Services
Uchicago Medicine AdventHealth Bolingbrook (FKA AdventHealth Bolingbrook),ORGANIC DISTURBANCES & MENTAL RETARDATION  (884),"$112,194","$344,341",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Community Hospital,"ENDOVASCULAR CARDIAC VALVE REPLACEMENT (266, 267)","$73,895","$344,036",,,Powers Health (FKA Community Healthcare System),
University of Illinois Hospital,"MAJOR SMALL & LARGE BOWEL PROCEDURES  (329, 330, 331)","$122,928","$343,920",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Edward Hospital (FKA Edward Heart Hospital),"ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY  (896, 897)","$45,353","$343,350",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
UW Health University Hospital,"STOMACH, ESOPHAGEAL & DUODENAL PROC  (326, 327, 328)","$53,507","$342,291",,,University of Wisconsin Health (AKA UW Health),
Edward Hospital (FKA Edward Heart Hospital),"RED BLOOD CELL DISORDERS  (811, 812)","$39,152","$342,054",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Morris Hospital & Healthcare Centers,"COMBINED ANTERIOR/POSTERIOR SPINAL FUSION  (453, 454, 455)","$44,651","$341,886",,,,
Saint Mary of Nazareth Hospital (FKA Ascension St Mary Chicago - Saint Mary Campus),"NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS  (987, 988, 989)","$58,349","$341,885",,,Prime Healthcare Services,Prime Healthcare Services
Edward Hospital (FKA Edward Heart Hospital),"CERVICAL SPINAL FUSION  (471, 472, 473)","$38,514","$341,718",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS  (371, 372, 373)","$84,951","$341,339",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Saint Joseph Medical Center - Joliet (FKA Ascension Saint Joseph Joliet),"POISONING & TOXIC EFFECTS OF DRUGS  (917, 918)","$17,386","$341,232",,,Prime Healthcare Services,Prime Healthcare Services
Loyola University Medical Center,"POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC  (856, 857, 858)","$83,591","$340,751",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Franciscan Health Munster (FKA Franciscan Healthcare - Munster Franciscan Physicians Hospital LLC),"RESPIRATORY INFECTIONS & INFLAMMATIONS  (177, 178, 179)","$49,230","$340,491",,,Franciscan Alliance Inc (AKA Franciscan Health),
Edward Hospital (FKA Edward Heart Hospital),"EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  (981, 982, 983)","$62,256","$340,160",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Sunrise Hospital & Medical Center,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS  (391, 392)","$13,751","$339,178",,,HCA Far West Division - Sunrise Health,HCA Healthcare (FKA Hospital Corporation of America)
Community First Medical Center (FKA Our Lady of the Resurrection Medical Center),"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE  (280, 281, 282)","$70,538","$339,062",,,,
Evanston Hospital (AKA NorthShore Evanston Hospital),"G.I. OBSTRUCTION  (388, 389, 390)","$62,324","$339,002",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Northwestern Memorial Hospital,"DIABETES  (637, 638, 639)","$94,275","$337,087",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Memorial Hospital,"DEGENERATIVE NERVOUS SYSTEM DISORDERS  (056, 057)","$92,979","$336,770",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Saint Joseph Medical Center - Joliet (FKA Ascension Saint Joseph Joliet),"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS  (463, 464, 465)","$29,718","$336,410",,,Prime Healthcare Services,Prime Healthcare Services
Mercy Medical Center (FKA Ascension Mercy),"G.I. OBSTRUCTION  (388, 389, 390)","$43,078","$335,575",,,Prime Healthcare Services,Prime Healthcare Services
Edward Hospital (FKA Edward Heart Hospital),"CORONARY BYPASS W CARDIAC CATH  (233, 234)","$52,558","$335,403",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
NewYork-Presbyterian Weill Cornell Medical Center,"DEGENERATIVE NERVOUS SYSTEM DISORDERS  (056, 057)","$35,658","$335,134",,,NewYork-Presbyterian Healthcare System,
HCA Florida Trinity Hospital (FKA Medical Center of Trinity),"OTHER SKIN, SUBCUT TISS & BREAST PROC  (579, 580, 581)","$13,775","$334,658",,,HCA West Florida Division,HCA Healthcare (FKA Hospital Corporation of America)
Elmhurst Hospital,"AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE  (239, 240, 241)","$42,975","$334,323",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Northwestern Medicine Kishwaukee Hospital (FKA Kishwaukee Community Hospital),"OTHER DIGESTIVE SYSTEM DIAGNOSES  (393, 394, 395)","$35,549","$333,982",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Medicine Central DuPage Hospital,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$63,047","$333,979",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Mercy Medical Center (FKA Ascension Mercy),"NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS  (987, 988, 989)","$26,001","$333,025",,,Prime Healthcare Services,Prime Healthcare Services
Edward Hospital (FKA Edward Heart Hospital),"TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.  (004)","$97,774","$332,909",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
University of Illinois Hospital,"COMPLICATIONS OF TREATMENT  (919, 920, 921)","$109,402","$332,860",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
University of Illinois Hospital,"CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH  (219, 220, 221)","$78,657","$332,306",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Elmhurst Hospital,"COMPLICATIONS OF TREATMENT  (919, 920, 921)","$57,793","$331,810",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS  (308, 309, 310)","$117,761","$331,376",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Doctors Hospital of Augusta,"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$32,723","$331,227",,,HCA South Atlantic Division,HCA Healthcare (FKA Hospital Corporation of America)
CAMC General Hospital,"CORONARY BYPASS W/O CARDIAC CATH  (235, 236)","$50,163","$331,201",,,Charleston Area Medical Center Health System (AKA CAMC Health System),Vandalia Health
Advocate Christ Medical Center,"INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE  (020, 021, 022)","$71,912","$330,973",,,Advocate Health Care,Advocate Health
UnityPoint Health St Lukes Hospital,"RED BLOOD CELL DISORDERS  (811, 812)",$0,"$330,841",,,UnityPoint Health (FKA Iowa Health System),UnityPoint Health (FKA Iowa Health System)
Northwest Community Hospital (AKA Northwest Community Healthcare),"G.I. HEMORRHAGE  (377, 378, 379)","$56,268","$330,608",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Silver Cross Hospital,"ENDOVASCULAR CARDIAC VALVE REPLACEMENT (266, 267)","$76,949","$330,125",,,,
Resurrection Medical Center (FKA Ascension Resurrection),"OTHER MAJOR CARDIOVASCULAR PROCEDURES (270, 271, 272)","$71,472","$329,757",,,Prime Healthcare Services,Prime Healthcare Services
Advocate Lutheran General Hospital,"KIDNEY & URINARY TRACT INFECTIONS  (689, 690)","$86,742","$329,639",,,Advocate Health Care,Advocate Health
Northwest Community Hospital (AKA Northwest Community Healthcare),"SPINAL FUSION EXCEPT CERVICAL  (459, 460)","$40,839","$329,428",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Evanston Hospital (AKA NorthShore Evanston Hospital),"POISONING & TOXIC EFFECTS OF DRUGS  (917, 918)","$69,618","$329,239",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Elmhurst Hospital,SINGLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL (402),"$55,368","$329,151",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),"G.I. HEMORRHAGE  (377, 378, 379)","$85,202","$328,718",,,Sinai Chicago (FKA Sinai Health System),
Advocate Christ Medical Center,"OTHER KIDNEY & URINARY TRACT DIAGNOSES  (698, 699, 700)","$86,949","$327,776",,,Advocate Health Care,Advocate Health
Community Hospital,"RENAL FAILURE  (682, 683, 684)","$48,275","$327,548",,,Powers Health (FKA Community Healthcare System),
Northwestern Medicine Palos Hospital (AKA Palos Health),"G.I. HEMORRHAGE  (377, 378, 379)","$50,499","$326,655",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Edward Hospital (FKA Edward Heart Hospital),"MAJOR BLADDER PROCEDURES  (653, 654, 655)","$36,417","$326,331",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Vista Medical Center East (AKA Vista Health System),"SIMPLE PNEUMONIA & PLEURISY  (193, 194, 195)","$19,897","$326,072",,,American Healthcare Systems,
Uchicago Medicine AdventHealth Bolingbrook (FKA AdventHealth Bolingbrook),"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$72,270","$325,784",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Henderson Hospital,"DIABETES  (637, 638, 639)","$11,178","$325,397",,,The Valley Health System,Universal Health Services
Advocate Good Samaritan Hospital,"HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE (521, 522)","$44,398","$325,291",,,Advocate Health Care,Advocate Health
Riverside Medical Center (AKA Riverside Healthcare),"ENDOVASCULAR CARDIAC VALVE REPLACEMENT (266, 267)","$71,696","$325,267",,,,
Holy Cross Hospital,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$44,337","$325,072",,,Sinai Chicago (FKA Sinai Health System),
Gottlieb Memorial Hospital,"RESPIRATORY INFECTIONS & INFLAMMATIONS  (177, 178, 179)","$49,251","$324,984",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Saint Joseph Medical Center - Joliet (FKA Ascension Saint Joseph Joliet),"CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX  (023, 024)","$38,744","$324,340",,,Prime Healthcare Services,Prime Healthcare Services
Evanston Hospital (AKA NorthShore Evanston Hospital),"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS  (308, 309, 310)","$28,218","$324,252",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Advocate Christ Medical Center,"OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC  (515, 516, 517)","$68,588","$323,874",,,Advocate Health Care,Advocate Health
Northwest Health - La Porte (FKA La Porte Hospital),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$57,448","$323,796",,,Northwest Health Porter (FKA Porter Health Care System),Community Health Systems (AKA CHS)
Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),"AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE  (239, 240, 241)","$84,824","$323,037",,,Sinai Chicago (FKA Sinai Health System),
St Bernard Hospital,PSYCHOSES  (885),"$99,957","$322,074",25,17,,
West Suburban Medical Center,"SEIZURES  (100, 101)","$67,451","$321,904",,,Resilience Healthcare,
Advocate Good Samaritan Hospital,"OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC  (515, 516, 517)","$59,408","$321,900",,,Advocate Health Care,Advocate Health
Community Hospital,"OTHER MAJOR CARDIOVASCULAR PROCEDURES (270, 271, 272)","$56,227","$321,872",,,Powers Health (FKA Community Healthcare System),
Advocate Christ Medical Center,"CRANIAL & PERIPHERAL NERVE DISORDERS  (073, 074)","$84,907","$320,682",,,Advocate Health Care,Advocate Health
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"DENTAL & ORAL DISEASES  (157, 158, 159)","$66,668","$320,597",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
