Hospital Name,Base DRG Group,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent
Northwestern Memorial Hospital,"COMBINED ANTERIOR/POSTERIOR SPINAL FUSION  (453, 454, 455)","$398,078","$1,714,155",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
RUSH Specialty Hospital,ORGANIC DISTURBANCES & MENTAL RETARDATION  (884),"$501,250","$1,694,043",,,Select Medical Corporation,Select Medical Corporation
Northwestern Memorial Hospital,"HEART FAILURE & SHOCK  (291, 292, 293)","$292,984","$1,690,666",22,20,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Pinnacle Hospital,"COMBINED ANTERIOR/POSTERIOR SPINAL FUSION  (453, 454, 455)","$99,051","$1,689,420",,,,
Northwestern Memorial Hospital,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION  (064, 065, 066)","$270,564","$1,688,892",15,15,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Christ Medical Center,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$376,618","$1,676,802",23,21,Advocate Health Care,Advocate Health
Humboldt Park Health (FKA Norwegian American Hospital),PSYCHOSES  (885),"$490,636","$1,665,697",69,27,,
RUSH Specialty Hospital,"AFTERCARE  (949, 950)","$471,872","$1,662,766",16,15,Select Medical Corporation,Select Medical Corporation
Northwestern Medicine Central DuPage Hospital,"MAJOR CHEST PROCEDURES  (163, 164, 165)","$169,556","$1,660,673",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Linden Oaks Hospital (FKA Linden Oaks Behavioral Health),PSYCHOSES  (885),"$543,538","$1,653,865",44,37,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Northwestern Memorial Hospital,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH  (286, 287)","$313,216","$1,644,496",15,12,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
MacNeal Hospital,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$362,269","$1,634,367",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Elmhurst Hospital,"MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY  (483, 484)","$167,298","$1,627,330",12,12,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Mercy Medical Center (FKA Ascension Mercy),"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT  (480, 481, 482)","$338,997","$1,617,511",12,12,Prime Healthcare Services,Prime Healthcare Services
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR 9 OR MORE FUS  (456, 457, 458)","$257,822","$1,614,480",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Northwestern Memorial Hospital,"EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  (981, 982, 983)","$277,114","$1,611,937",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Swedish Hospital (FKA Swedish Covenant Hospital),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$410,240","$1,589,706",25,23,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Shirley Ryan AbilityLab (FKA the Rehabilitation Institute of Chicago),"SIGNS & SYMPTOMS  (947, 948)","$427,714","$1,569,395",13,13,,
West Suburban Medical Center,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$353,597","$1,568,905",22,18,Resilience Healthcare,
Advocate Lutheran General Hospital,"ECMO OR TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.  (003)","$386,167","$1,536,618",,,Advocate Health Care,Advocate Health
Edward Hospital (FKA Edward Heart Hospital),"SIMPLE PNEUMONIA & PLEURISY  (193, 194, 195)","$214,490","$1,533,172",28,24,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM  (001, 002)","$317,094","$1,531,697",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Advocate Good Samaritan Hospital,"CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH  (219, 220, 221)","$226,736","$1,530,088",,,Advocate Health Care,Advocate Health
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC  (856, 857, 858)","$237,197","$1,513,683",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),KIDNEY TRANSPLANT  (652),"$109,855","$1,509,531",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Cedars-Sinai Medical Center,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$111,298","$1,506,304",,,Cedars-Sinai Health System,Cedars-Sinai Health System
Holy Family Medical Center (FKA Ascension Holy Family),"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS  (463, 464, 465)","$141,836","$1,501,386",,,Prime Healthcare Services,Prime Healthcare Services
University of Illinois Hospital,"RED BLOOD CELL DISORDERS  (811, 812)","$480,922","$1,484,248",62,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Northwestern Memorial Hospital,"MAJOR BLADDER PROCEDURES  (653, 654, 655)","$201,288","$1,480,827",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Memorial Hospital,"KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM  (659, 660, 661)","$209,670","$1,479,607",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Edward Hospital (FKA Edward Heart Hospital),"PERCUTANEOUS CARDIOVASCULAR PROCEDURES W INTRALUMINAL DEVICE (321,322)","$171,960","$1,469,069",11,11,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Advocate Christ Medical Center,SEPTICEMIA OR SEVERE SEPSIS W MV 96 OR MORE HOURS  (870),"$127,541","$1,450,397",,,Advocate Health Care,Advocate Health
Mercy Medical Center (FKA Ascension Mercy),PSYCHOSES  (885),"$207,347","$1,446,544",31,21,Prime Healthcare Services,Prime Healthcare Services
Barlow Respiratory Hospital - Main Campus,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96 OR MORE HOURS  (207),"$108,054","$1,441,221",,,Barlow Respiratory Hospital System,
Mercy Medical Center (FKA Ascension Mercy),"RESPIRATORY INFECTIONS & INFLAMMATIONS  (177, 178, 179)","$201,226","$1,430,888",16,14,Prime Healthcare Services,Prime Healthcare Services
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION  (064, 065, 066)","$261,127","$1,422,909",11,11,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Elmhurst Hospital,"REVISION OF HIP OR KNEE REPLACEMENT  (466, 467, 468)","$225,130","$1,409,208",11,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Mercy Medical Center (FKA Ascension Mercy),"OTHER KIDNEY & URINARY TRACT DIAGNOSES  (698, 699, 700)","$304,604","$1,403,241",26,12,Prime Healthcare Services,Prime Healthcare Services
Advocate Good Samaritan Hospital,"COMBINED ANTERIOR/POSTERIOR SPINAL FUSION  (453, 454, 455)","$623,687","$1,399,016",,,Advocate Health Care,Advocate Health
RUSH Specialty Hospital,"MEDICAL BACK PROBLEMS  (551, 552)","$405,393","$1,375,665",,,Select Medical Corporation,Select Medical Corporation
Advocate Good Samaritan Hospital,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$269,704","$1,372,241",24,21,Advocate Health Care,Advocate Health
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"OTHER MAJOR CARDIOVASCULAR PROCEDURES (270, 271, 272)","$200,260","$1,363,832",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Northwestern Medicine Palos Hospital (AKA Palos Health),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$245,919","$1,358,074",22,21,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
St Marys Medical Center,"ECMO OR TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.  (003)","$156,646","$1,353,946",,,Palm Beach Health Network (FKA Tenet Florida),Tenet Healthcare
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"MAJOR SMALL & LARGE BOWEL PROCEDURES  (329, 330, 331)","$243,934","$1,353,456",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
UW Health University Hospital,"KIDNEY TRANSPLANT WITH HEMODIALYSIS (650, 651)","$259,334","$1,353,275",,,University of Wisconsin Health (AKA UW Health),
Mercy Medical Center (FKA Ascension Mercy),"RENAL FAILURE  (682, 683, 684)","$149,180","$1,330,569",17,16,Prime Healthcare Services,Prime Healthcare Services
Uchicago Medicine AdventHealth La Grange (FKA AdventHealth La Grange),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$345,685","$1,315,377",27,23,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Saint Mary of Nazareth Hospital (FKA Ascension St Mary Chicago - Saint Mary Campus),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$270,749","$1,309,105",18,17,Prime Healthcare Services,Prime Healthcare Services
Northwestern Medicine Central DuPage Hospital,"CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES  (025, 026, 027)","$123,602","$1,301,575",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Illinois Masonic Medical Center,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$336,554","$1,293,458",18,17,Advocate Health Care,Advocate Health
Shirley Ryan AbilityLab (FKA the Rehabilitation Institute of Chicago),"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE  (559, 560, 561)","$372,141","$1,280,842",13,12,,
RUSH Specialty Hospital,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE  (559, 560, 561)","$360,322","$1,265,503",12,11,Select Medical Corporation,Select Medical Corporation
Advocate Christ Medical Center,"STOMACH, ESOPHAGEAL & DUODENAL PROC  (326, 327, 328)","$275,567","$1,259,623",,,Advocate Health Care,Advocate Health
Northwestern Medicine Central DuPage Hospital,"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$149,933","$1,248,570",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
RML Specialty Hospital Hinsdale,"EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  (981, 982, 983)","$270,484","$1,242,066",,,Advocate Health Care,Advocate Health
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),"COMBINED ANTERIOR/POSTERIOR SPINAL FUSION  (453, 454, 455)","$297,023","$1,241,048",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Northwestern Memorial Hospital,LUNG TRANSPLANT  (007),"$240,192","$1,240,945",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Christ Medical Center,"LYMPHOMA & NON-ACUTE LEUKEMIA  (840, 841, 842)","$258,448","$1,236,193",,,Advocate Health Care,Advocate Health
Northwestern Medicine Central DuPage Hospital,"BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE  (477, 478, 479)","$125,620","$1,235,997",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Mercy Medical Center (FKA Ascension Mercy),"RED BLOOD CELL DISORDERS  (811, 812)","$136,843","$1,227,920",15,,Prime Healthcare Services,Prime Healthcare Services
Northwestern Medicine Central DuPage Hospital,"SPINAL FUSION EXCEPT CERVICAL  (459, 460)","$100,685","$1,217,109",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Kindred Hospital Chicago - Northlake,"SKIN DEBRIDEMENT  (570, 571, 572)","$129,600","$1,213,758",,,Kindred Hospitals,ScionHealth
OSF Little Company of Mary Medical Center (FKA Little Company of Mary Hospital),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$394,119","$1,212,706",23,22,OSF HealthCare,
Chicago Behavioral Hospital,PSYCHOSES  (885),"$476,395","$1,200,220",57,43,US HealthVest,
Northwestern Medicine Marianjoy Rehabilitation Hospital,"AFTERCARE  (949, 950)","$585,475","$1,185,319",22,20,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Pinnacle Hospital,"MULTIPLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL (426, 427, 428)","$87,560","$1,174,251",,,,
Northwestern Memorial Hospital,"MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY  (469, 470)","$186,782","$1,159,880",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
West Suburban Medical Center,"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$196,279","$1,155,253",,,Resilience Healthcare,
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH  (219, 220, 221)","$242,526","$1,132,799",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Northwest Health - Porter (AKA Porter Regional Hospital),"SPINAL FUSION EXCEPT CERVICAL  (459, 460)","$107,489","$1,127,845",,,Northwest Health Porter (FKA Porter Health Care System),Community Health Systems (AKA CHS)
Shirley Ryan AbilityLab (FKA the Rehabilitation Institute of Chicago),"SPINAL DISORDERS & INJURIES  (052, 053)","$351,923","$1,124,827",,,,
